id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 bao gồm phản hồi ban đầu trong vòng 15 phút kể từ khi ticket được tạo và thời gian xử lý và khắc phục là 4 giờ. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Thông báo cho stakeholder sẽ được thực hiện ngay khi nhận ticket và cập nhật mỗi 30 phút cho đến khi resolve [1]. 

Sources: [1]",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is fully supported by the retrieved context regarding Ticket P1.,5,The answer directly and completely addresses the question by providing specific details about the SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the initial response time and resolution time, while also providing additional relevant information.",variant2_hybrid_nuanced
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][3]. 

Sources: [1], [3]",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the condition that customers can request a refund within 7 working days from the order confirmation, as stated in the retrieved context.",5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,variant2_hybrid_nuanced
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3 (Elevated Access), yêu cầu phải được phê duyệt bởi Line Manager, IT Admin và IT Security. Thời gian xử lý cho quyền này là 3 ngày làm việc [2]. 

Sources: [2]","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval process and processing time for Level 3 access as stated in the retrieved context.,5,The answer directly and completely addresses the question by specifying who must approve the Level 3 access.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer regarding the approval required for Level 3 access.,variant2_hybrid_nuanced
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền. Điều này có nghĩa là khách hàng không thể yêu cầu hoàn tiền cho các sản phẩm này. 

Sources: [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,The answer accurately reflects the information in the retrieved context regarding the non-refundable status of digital products.,5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points from the expected answer regarding the non-refundable nature of digital products.,variant2_hybrid_nuanced
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO. 

Sources: [1]",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is fully supported by the retrieved context.,5,The answer directly and completely addresses the question by providing the specific number of failed login attempts that lead to account lockout and options for unlocking.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer and provides additional relevant information.,variant2_hybrid_nuanced
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, quy trình escalation diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1]. 

Sources: [1]",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Every claim in the answer is fully supported by the retrieved context.,5,The answer directly and completely explains the escalation process in a P1 incident.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the key point about the automatic escalation of the P1 ticket to a Senior Engineer if there is no response within 10 minutes.,variant2_hybrid_nuanced
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu quy định Approval Matrix để cấp quyền hệ thống là ""it/access-control-sop.md"", trước đây có tên là ""Approval Matrix for System Access"" [1]. 

Sources: [1]",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer accurately reflects the information from the retrieved context regarding the document's name and its purpose.,5,The answer directly identifies the document related to the Approval Matrix for system access and provides its name and previous title.,5,Retrieved: 1/1 expected sources,5,"The model answer correctly identifies the document as 'Access Control SOP' and mentions its previous name, covering all key points from the expected answer.",variant2_hybrid_nuanced
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần. Lịch remote phải được Team Lead phê duyệt qua HR Portal. Ngày onsite bắt buộc là Thứ 3 và Thứ 5 theo lịch team [1]. 

Sources: [1]","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is fully supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying the maximum number of remote days allowed per week and the conditions for approval.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, specifying the maximum remote days, the probation period condition, and the requirement for Team Lead approval.",variant2_hybrid_nuanced
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Không đủ dữ liệu để trả lời câu hỏi này. Bạn có thể tạo một ticket hỗ trợ để được trợ giúp thêm. 

Sources:","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Correct abstain — no source exists for this question,5,Correct abstain — no source exists for this question,,No expected sources,3,"The model answer acknowledges the lack of information and suggests creating a support ticket, but it does not explicitly mention the potential authentication issue or the recommendation to contact IT Helpdesk.",variant2_hybrid_nuanced
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Quy trình hoàn tiền cho khách hàng VIP không được ghi nhận trong tài liệu. Theo quy trình hoàn tiền tiêu chuẩn, khách hàng cần gửi yêu cầu qua hệ thống ticket nội bộ với category ""Refund Request"", và nếu đủ điều kiện, yêu cầu sẽ được chuyển sang Finance Team để xử lý trong 3-5 ngày làm việc [2]. Không có quy trình đặc biệt nào được ghi nhận cho khách hàng VIP. 

Sources: [2]","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer accurately reflects the standard refund process as described in the retrieved context and correctly states that there is no special process for VIP customers.,5,The answer directly addresses the question by explaining that there is no special refund process for VIP customers and describes the standard procedure.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the lack of a special process for VIP customers and the standard refund process timeline.",variant2_hybrid_nuanced
